trigger,cent,pTlo,pThi,slice,windowSigma,sb,err
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,0.187329,0.0439911
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,0.187329,0.0439911
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,0.187329,0.0439911
MBD_NandS_geq_2,2,4,0.7,0_10,2,0.140008,0.0362322
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,0.140008,0.0362322
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,1.24459,0.134031
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,1.12414,0.117526
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,0.998581,0.103216
MBD_NandS_geq_2,2,4,0.7,10_20,2,0.91022,0.0926844
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,0.818552,0.0833773
MBD_NandS_geq_2,2,4,0.7,20_30,1.25,2.04329,0.291796
MBD_NandS_geq_2,2,4,0.7,20_30,1.5,1.76967,0.242041
MBD_NandS_geq_2,2,4,0.7,20_30,1.75,1.65,0.2106
MBD_NandS_geq_2,2,4,0.7,20_30,2,1.48123,0.183636
MBD_NandS_geq_2,2,4,0.7,20_30,2.25,1.48123,0.183636
MBD_NandS_geq_2,2,4,0.7,30_40,1.25,5.76312,1.36551
MBD_NandS_geq_2,2,4,0.7,30_40,1.5,4.784,1.03435
MBD_NandS_geq_2,2,4,0.7,30_40,1.75,4.784,1.03435
MBD_NandS_geq_2,2,4,0.7,30_40,2,4.05544,0.811667
MBD_NandS_geq_2,2,4,0.7,30_40,2.25,3.49572,0.655306
MBD_NandS_geq_2,2,4,0.7,40_50,1.25,0,0
MBD_NandS_geq_2,2,4,0.7,40_50,1.5,0,0
MBD_NandS_geq_2,2,4,0.7,40_50,1.75,0,0
MBD_NandS_geq_2,2,4,0.7,40_50,2,245.439,406.971
MBD_NandS_geq_2,2,4,0.7,40_50,2.25,73.0283,65.6057
MBD_NandS_geq_2,2,4,0.7,50_60,1.25,39.5297,41.9054
MBD_NandS_geq_2,2,4,0.7,50_60,1.5,27.1331,23.1858
MBD_NandS_geq_2,2,4,0.7,50_60,1.75,27.1331,23.1858
MBD_NandS_geq_2,2,4,0.7,50_60,2,20.0079,14.3471
MBD_NandS_geq_2,2,4,0.7,50_60,2.25,14.4124,8.94293
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.25,1.2147,0.0576974
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.5,1.09467,0.0505817
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.75,0.986156,0.0447838
MBD_NandS_geq_2,2,4,0.7,Inclusive,2,0.883115,0.039906
MBD_NandS_geq_2,2,4,0.7,Inclusive,2.25,0.788604,0.035832
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,3.46714,0.722757
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,3.01052,0.591228
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,2.7377,0.507517
MBD_NandS_geq_2,2,4,0.7,0_10,2,2.46899,0.436683
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,2.22697,0.378908
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,1.49924,0.551543
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,1.49924,0.551543
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,1.49924,0.551543
MBD_NandS_geq_2,2,4,0.7,10_20,2,1.18624,0.404558
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,1.18624,0.404558
MBD_NandS_geq_2,2,4,0.7,20_30,1.25,14.5885,9.67991
MBD_NandS_geq_2,2,4,0.7,20_30,1.5,11.5433,6.76151
MBD_NandS_geq_2,2,4,0.7,20_30,1.75,11.5433,6.76151
MBD_NandS_geq_2,2,4,0.7,20_30,2,8.97001,4.74763
MBD_NandS_geq_2,2,4,0.7,20_30,2.25,7.37258,3.57904
MBD_NandS_geq_2,2,4,0.7,30_40,1.25,3.10621,2.16948
MBD_NandS_geq_2,2,4,0.7,30_40,1.5,3.10621,2.16948
MBD_NandS_geq_2,2,4,0.7,30_40,1.75,3.10621,2.16948
MBD_NandS_geq_2,2,4,0.7,30_40,2,2.81887,1.85905
MBD_NandS_geq_2,2,4,0.7,30_40,2.25,3.37057,1.90228
MBD_NandS_geq_2,2,4,0.7,40_50,1.25,3.23731,2.63234
MBD_NandS_geq_2,2,4,0.7,40_50,1.5,2.41462,1.77674
MBD_NandS_geq_2,2,4,0.7,40_50,1.75,2.11841,1.46842
MBD_NandS_geq_2,2,4,0.7,40_50,2,2.11841,1.46842
MBD_NandS_geq_2,2,4,0.7,40_50,2.25,2.11841,1.46842
MBD_NandS_geq_2,2,4,0.7,50_60,1.25,0,0
MBD_NandS_geq_2,2,4,0.7,50_60,1.5,0,0
MBD_NandS_geq_2,2,4,0.7,50_60,1.75,0,0
MBD_NandS_geq_2,2,4,0.7,50_60,2,0,0
MBD_NandS_geq_2,2,4,0.7,50_60,2.25,0,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.25,22.3161,6.35477
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.5,16.121,3.88639
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.75,12.4228,2.60817
MBD_NandS_geq_2,2,4,0.7,Inclusive,2,9.96028,1.86005
MBD_NandS_geq_2,2,4,0.7,Inclusive,2.25,8.15655,1.37793
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.25,-0.749002,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.5,-0.749002,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.75,-0.777228,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,2,-0.799821,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,2.25,-0.799821,0
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,0_10,2,-1,0
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,-1,0
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,10_20,2,-1,0
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,-1,0
MBD_NandS_geq_2,2,4,0.7,20_30,1.25,-0.749002,0
MBD_NandS_geq_2,2,4,0.7,20_30,1.5,-0.749002,0
MBD_NandS_geq_2,2,4,0.7,20_30,1.75,-0.777228,0
MBD_NandS_geq_2,2,4,0.7,20_30,2,-0.799821,0
MBD_NandS_geq_2,2,4,0.7,20_30,2.25,-0.799821,0
MBD_NandS_geq_2,2,4,0.7,30_40,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,30_40,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,30_40,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,30_40,2,-1,0
MBD_NandS_geq_2,2,4,0.7,30_40,2.25,-1,0
MBD_NandS_geq_2,2,4,0.7,40_50,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,40_50,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,40_50,1.75,-1,0
