trigger,cent,pTlo,pThi,slice,windowSigma,sb,err
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,0.383598,0.0254614
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,0.351389,0.0236051
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,0.329966,0.0221143
MBD_NandS_geq_2,2,4,0.7,0_10,2,0.303542,0.020734
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,0.281933,0.019557
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,1.09171,0.0828333
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,1.09171,0.0828333
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,0.959259,0.0703781
MBD_NandS_geq_2,2,4,0.7,10_20,2,0.87597,0.0634168
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,0.761795,0.0564044
MBD_NandS_geq_2,2,4,0.7,20_30,1.25,1.37223,0.159458
MBD_NandS_geq_2,2,4,0.7,20_30,1.5,1.27394,0.14289
MBD_NandS_geq_2,2,4,0.7,20_30,1.75,1.11351,0.122669
MBD_NandS_geq_2,2,4,0.7,20_30,2,1.03655,0.11268
MBD_NandS_geq_2,2,4,0.7,20_30,2.25,0.898553,0.0986403
MBD_NandS_geq_2,2,4,0.7,30_40,1.25,1.13913,0.174294
MBD_NandS_geq_2,2,4,0.7,30_40,1.5,1.13913,0.174294
MBD_NandS_geq_2,2,4,0.7,30_40,1.75,1.01321,0.144522
MBD_NandS_geq_2,2,4,0.7,30_40,2,1.01321,0.144522
MBD_NandS_geq_2,2,4,0.7,30_40,2.25,0.82011,0.118334
MBD_NandS_geq_2,2,4,0.7,40_50,1.25,1.77585,0.397823
MBD_NandS_geq_2,2,4,0.7,40_50,1.5,1.77585,0.397823
MBD_NandS_geq_2,2,4,0.7,40_50,1.75,1.2728,0.26291
MBD_NandS_geq_2,2,4,0.7,40_50,2,1.2728,0.26291
MBD_NandS_geq_2,2,4,0.7,40_50,2.25,1.2728,0.26291
MBD_NandS_geq_2,2,4,0.7,50_60,1.25,2.43306,0.692271
MBD_NandS_geq_2,2,4,0.7,50_60,1.5,2.20843,0.542952
MBD_NandS_geq_2,2,4,0.7,50_60,1.75,2.20843,0.542952
MBD_NandS_geq_2,2,4,0.7,50_60,2,1.70845,0.39845
MBD_NandS_geq_2,2,4,0.7,50_60,2.25,1.70845,0.39845
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.25,0.592308,0.0252213
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.5,0.592308,0.0252213
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.75,0.520034,0.0219378
MBD_NandS_geq_2,2,4,0.7,Inclusive,2,0.47825,0.0202723
MBD_NandS_geq_2,2,4,0.7,Inclusive,2.25,0.435581,0.018798
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,36.886,13.0733
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,19.2524,4.86857
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,12.0246,2.40135
MBD_NandS_geq_2,2,4,0.7,0_10,2,8.30974,1.39107
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,5.99321,0.877191
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,31.6981,18.798
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,20.3697,9.42308
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,13.9414,5.332
MBD_NandS_geq_2,2,4,0.7,10_20,2,10.0087,3.29116
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,7.67394,2.22855
MBD_NandS_geq_2,2,4,0.7,20_30,1.25,5.41095,1.89078
MBD_NandS_geq_2,2,4,0.7,20_30,1.5,4.80889,1.52787
MBD_NandS_geq_2,2,4,0.7,20_30,1.75,4.00947,1.1637
MBD_NandS_geq_2,2,4,0.7,20_30,2,4.00947,1.1637
MBD_NandS_geq_2,2,4,0.7,20_30,2.25,3.39154,0.934074
MBD_NandS_geq_2,2,4,0.7,30_40,1.25,22.0956,18.6366
MBD_NandS_geq_2,2,4,0.7,30_40,1.5,15.8111,11.162
MBD_NandS_geq_2,2,4,0.7,30_40,1.75,15.8111,11.162
MBD_NandS_geq_2,2,4,0.7,30_40,2,11.6499,7.12224
MBD_NandS_geq_2,2,4,0.7,30_40,2.25,8.95294,4.85809
MBD_NandS_geq_2,2,4,0.7,40_50,1.25,1.28418,0.670235
MBD_NandS_geq_2,2,4,0.7,40_50,1.5,1.28418,0.670235
MBD_NandS_geq_2,2,4,0.7,40_50,1.75,0.970318,0.488929
MBD_NandS_geq_2,2,4,0.7,40_50,2,0.970318,0.488929
MBD_NandS_geq_2,2,4,0.7,40_50,2.25,0.970318,0.488929
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.25,126.802,59.9135
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.5,42.0667,11.2483
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.75,21.5521,4.10131
MBD_NandS_geq_2,2,4,0.7,Inclusive,2,13.232,1.98764
MBD_NandS_geq_2,2,4,0.7,Inclusive,2.25,8.96592,1.13015
MBD_NandS_geq_2,2,4,0.7,50_60,1.25,-0.394377,0
MBD_NandS_geq_2,2,4,0.7,50_60,1.5,-0.394377,0
MBD_NandS_geq_2,2,4,0.7,50_60,1.75,-0.394377,0
MBD_NandS_geq_2,2,4,0.7,50_60,2,-0.552886,0
MBD_NandS_geq_2,2,4,0.7,50_60,2.25,-0.51268,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,2,-1,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,2.25,-1,0
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,0_10,2,-1,0
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,-1,0
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,10_20,2,-1,0
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,-1,0
MBD_NandS_geq_2,2,4,0.7,20_30,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,20_30,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,20_30,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,20_30,2,-1,0
MBD_NandS_geq_2,2,4,0.7,20_30,2.25,-1,0
MBD_NandS_geq_2,2,4,0.7,30_40,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,30_40,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,30_40,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,30_40,2,-1,0
MBD_NandS_geq_2,2,4,0.7,30_40,2.25,-1,0
MBD_NandS_geq_2,2,4,0.7,40_50,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,40_50,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,40_50,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,40_50,2,-1,0
MBD_NandS_geq_2,2,4,0.7,40_50,2.25,-1,0
MBD_NandS_geq_2,2,4,0.7,50_60,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,50_60,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,50_60,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,50_60,2,-1,0
MBD_NandS_geq_2,2,4,0.7,50_60,2.25,-1,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,2,-1,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,2.25,-1,0
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,0_10,2,-1,0
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,-1,0
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,10_20,2,-1,0
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,-1,0
MBD_NandS_geq_2,2,4,0.7,20_30,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,20_30,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,20_30,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,20_30,2,-1,0
MBD_NandS_geq_2,2,4,0.7,20_30,2.25,-1,0
MBD_NandS_geq_2,2,4,0.7,30_40,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,30_40,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,30_40,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,30_40,2,-1,0
MBD_NandS_geq_2,2,4,0.7,30_40,2.25,-1,0
