trigger,cent,pTlo,pThi,slice,windowSigma,sb,err
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,0.247076,0.0414827
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,0.231324,0.0390401
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,0.201604,0.0365887
MBD_NandS_geq_2,2,4,0.7,0_10,2,0.194167,0.0348388
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,0.179374,0.0331277
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,0.818942,0.121452
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,0.747495,0.110343
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,0.698814,0.101876
MBD_NandS_geq_2,2,4,0.7,10_20,2,0.6588,0.0948351
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,0.590548,0.087163
MBD_NandS_geq_2,2,4,0.7,20_30,1.25,2.69746,0.565232
MBD_NandS_geq_2,2,4,0.7,20_30,1.5,2.82957,0.573111
MBD_NandS_geq_2,2,4,0.7,20_30,1.75,2.3435,0.44231
MBD_NandS_geq_2,2,4,0.7,20_30,2,2.3435,0.44231
MBD_NandS_geq_2,2,4,0.7,20_30,2.25,1.86856,0.339809
MBD_NandS_geq_2,2,4,0.7,30_40,1.25,7.76395,3.25816
MBD_NandS_geq_2,2,4,0.7,30_40,1.5,6.00584,2.13833
MBD_NandS_geq_2,2,4,0.7,30_40,1.75,6.21814,2.20691
MBD_NandS_geq_2,2,4,0.7,30_40,2,4.5519,1.4333
MBD_NandS_geq_2,2,4,0.7,30_40,2.25,4.5519,1.4333
MBD_NandS_geq_2,2,4,0.7,40_50,1.25,5.46505,2.55434
MBD_NandS_geq_2,2,4,0.7,40_50,1.5,4.50301,1.90726
MBD_NandS_geq_2,2,4,0.7,40_50,1.75,4.6386,1.9325
MBD_NandS_geq_2,2,4,0.7,40_50,2,3.82339,1.47676
MBD_NandS_geq_2,2,4,0.7,40_50,2.25,3.82339,1.47676
MBD_NandS_geq_2,2,4,0.7,50_60,1.25,184.396,503.515
MBD_NandS_geq_2,2,4,0.7,50_60,1.5,43.6188,57.8069
MBD_NandS_geq_2,2,4,0.7,50_60,1.75,43.6188,57.8069
MBD_NandS_geq_2,2,4,0.7,50_60,2,19.5422,17.4982
MBD_NandS_geq_2,2,4,0.7,50_60,2.25,19.5422,17.4982
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.25,0.367786,0.0502865
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.5,0.29374,0.0407533
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.75,0.29374,0.0407533
MBD_NandS_geq_2,2,4,0.7,Inclusive,2,0.230499,0.0346971
MBD_NandS_geq_2,2,4,0.7,Inclusive,2.25,0.230499,0.0346971
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,8.7218,3.45181
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,7.54589,2.75003
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,6.36776,2.15527
MBD_NandS_geq_2,2,4,0.7,0_10,2,5.73063,1.80222
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,4.95345,1.46135
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,307.786,890.603
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,75.6273,108.111
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,35.308,34.1254
MBD_NandS_geq_2,2,4,0.7,10_20,2,21.506,15.9329
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,14.193,8.64882
MBD_NandS_geq_2,2,4,0.7,20_30,1.25,1.43746,0.885506
MBD_NandS_geq_2,2,4,0.7,20_30,1.5,1.14329,0.702151
MBD_NandS_geq_2,2,4,0.7,20_30,1.75,1.23782,0.684616
MBD_NandS_geq_2,2,4,0.7,20_30,2,1.23782,0.684616
MBD_NandS_geq_2,2,4,0.7,20_30,2.25,1.03543,0.57698
MBD_NandS_geq_2,2,4,0.7,30_40,1.25,11.9936,20.1887
MBD_NandS_geq_2,2,4,0.7,30_40,1.5,6.68298,8.18706
MBD_NandS_geq_2,2,4,0.7,30_40,1.75,3.62801,3.70438
MBD_NandS_geq_2,2,4,0.7,30_40,2,2.12666,1.99654
MBD_NandS_geq_2,2,4,0.7,30_40,2.25,1.27602,1.21697
MBD_NandS_geq_2,2,4,0.7,40_50,1.25,-0.24412,0
MBD_NandS_geq_2,2,4,0.7,40_50,1.5,-0.24412,0
MBD_NandS_geq_2,2,4,0.7,40_50,1.75,-0.395122,0
MBD_NandS_geq_2,2,4,0.7,40_50,2,-0.450571,0
MBD_NandS_geq_2,2,4,0.7,40_50,2.25,-0.495759,0
