trigger,E,Chi,Asym,pTlo,pThi,meanPi0,errPi0,sigmaPi0,errSigmaPi0,meanEta,errEta,sigmaEta,errSigmaEta
MBD_NandS_geq_2,2,4,0.7,-1,-1,0.15,1.44092e-05,0.03654,0.000419687,841.633,19
MBD_NandS_geq_2,2,4,0.7,-1,-1,0.15,1.25905e-05,0.0251786,0.000287447,478.547,19
MBD_NandS_geq_2,2,4,0.7,-1,-1,0.147833,0.000167617,0.0223606,0.000261806,442.957,19
MBD_NandS_geq_2,2,4,0.7,-1,-1,0.145568,0.000145535,0.0201723,0.000214876,314.59,19
MBD_NandS_geq_2,2,4,0.7,-1,-1,0.14342,0.000157371,0.0196835,0.000233314,268.312,19
MBD_NandS_geq_2,2,4,0.7,-1,-1,0.141886,0.000173465,0.0187761,0.000244719,119.367,19
MBD_NandS_geq_2,2,4,0.7,-1,-1,0.149674,0.000100062,0.0236776,0.000158076,1597.14,19
MBD_NandS_geq_2,2,4,0.7,2,4,0.15,0.000160028,0.0365631,0.000392028,202.016,19
MBD_NandS_geq_2,2,4,0.7,2,4,0.15,5.48972e-05,0.0276277,0.000407392,228.036,19
MBD_NandS_geq_2,2,4,0.7,2,4,0.148908,0.000271825,0.022766,0.000411317,228.233,19
MBD_NandS_geq_2,2,4,0.7,2,4,0.146274,0.000270763,0.0211619,0.000395698,155.459,19
MBD_NandS_geq_2,2,4,0.7,2,4,0.144359,0.000311162,0.0204682,0.000466926,123.267,19
MBD_NandS_geq_2,2,4,0.7,2,4,0.143182,0.000329457,0.0180637,0.000446036,59.2276,19
MBD_NandS_geq_2,2,4,0.7,2,4,0.148855,0.00018159,0.027582,0.000272258,1152.18,19
MBD_NandS_geq_2,2,4,0.7,4,6,0.15,0.00085368,0.0155217,0.00569568,39.6076,18
MBD_NandS_geq_2,2,4,0.7,4,6,0.15,0.00528314,0.0154189,0.00623888,16.9126,18
MBD_NandS_geq_2,2,4,0.7,4,6,0.15,0.0199855,0.0176376,0.00825261,7.41724,16
MBD_NandS_geq_2,2,4,0.7,4,6,0.15,0.00262451,0.0270651,0.0062921,18.9252,18
MBD_NandS_geq_2,2,4,0.7,4,6,0.15,0.0248764,0.04,0.0239115,12.5952,18
MBD_NandS_geq_2,2,4,0.7,4,6,0.124104,0.0166818,0.01,0.0292199,6.61789,15
MBD_NandS_geq_2,2,4,0.7,4,6,0.135656,0.0111467,0.01,0.0212223,5.35604,8
MBD_NandS_geq_2,2,4,0.7,6,8,0.149093,0.0273145,0.0103816,0.026878,1.73489,1
MBD_NandS_geq_2,2,4,0.7,6,8,0.149893,0.0263377,0.04,0.0256347,9.34343e-09,0
