trigger,cent,pTlo,pThi,slice,windowSigma,sb,err
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,0.429858,0.0454629
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,0.397535,0.0418543
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,0.350707,0.0384131
MBD_NandS_geq_2,2,4,0.7,0_10,2,0.319721,0.0357414
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,0.295084,0.0335107
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,0.539938,0.122809
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,0.420522,0.102258
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,0.420522,0.102258
MBD_NandS_geq_2,2,4,0.7,10_20,2,0.420522,0.102258
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,0.322973,0.0816841
MBD_NandS_geq_2,2,4,0.7,20_30,1.25,42.016,19.821
MBD_NandS_geq_2,2,4,0.7,20_30,1.5,19.2859,6.17013
MBD_NandS_geq_2,2,4,0.7,20_30,1.75,11.3828,2.80755
MBD_NandS_geq_2,2,4,0.7,20_30,2,7.7188,1.57517
MBD_NandS_geq_2,2,4,0.7,20_30,2.25,5.67322,1.00254
MBD_NandS_geq_2,2,4,0.7,30_40,1.25,59.4393,48.8536
MBD_NandS_geq_2,2,4,0.7,30_40,1.5,29.3839,16.5624
MBD_NandS_geq_2,2,4,0.7,30_40,1.75,17.4371,7.56115
MBD_NandS_geq_2,2,4,0.7,30_40,2,11.405,4.06424
MBD_NandS_geq_2,2,4,0.7,30_40,2.25,11.405,4.06424
MBD_NandS_geq_2,2,4,0.7,40_50,1.25,2.09758,0.674811
MBD_NandS_geq_2,2,4,0.7,40_50,1.5,2.09758,0.674811
MBD_NandS_geq_2,2,4,0.7,40_50,1.75,2.09758,0.674811
MBD_NandS_geq_2,2,4,0.7,40_50,2,1.63925,0.480055
MBD_NandS_geq_2,2,4,0.7,40_50,2.25,1.63925,0.480055
MBD_NandS_geq_2,2,4,0.7,50_60,1.25,0,0
MBD_NandS_geq_2,2,4,0.7,50_60,1.5,0,0
MBD_NandS_geq_2,2,4,0.7,50_60,1.75,187.231,462.6
MBD_NandS_geq_2,2,4,0.7,50_60,2,50.9922,65.6444
MBD_NandS_geq_2,2,4,0.7,50_60,2.25,50.9922,65.6444
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.25,0.684679,0.0454145
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.5,0.623179,0.0409615
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.75,0.623179,0.0409615
MBD_NandS_geq_2,2,4,0.7,Inclusive,2,0.564855,0.0372205
MBD_NandS_geq_2,2,4,0.7,Inclusive,2.25,0.503931,0.033933
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,1.74111,0.397785
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,1.5822,0.342416
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,1.51289,0.308237
MBD_NandS_geq_2,2,4,0.7,0_10,2,1.29716,0.262181
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,1.20292,0.236298
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,4.70804,2.1321
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,4.70804,2.1321
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,3.56406,1.4215
MBD_NandS_geq_2,2,4,0.7,10_20,2,3.56406,1.4215
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,3.56406,1.4215
MBD_NandS_geq_2,2,4,0.7,20_30,1.25,2.54448,1.53865
MBD_NandS_geq_2,2,4,0.7,20_30,1.5,1.88078,1.07497
MBD_NandS_geq_2,2,4,0.7,20_30,1.75,1.55946,0.842455
MBD_NandS_geq_2,2,4,0.7,20_30,2,1.55946,0.842455
MBD_NandS_geq_2,2,4,0.7,20_30,2.25,1.55946,0.842455
MBD_NandS_geq_2,2,4,0.7,30_40,1.25,1.92128,1.32519
MBD_NandS_geq_2,2,4,0.7,30_40,1.5,1.92128,1.32519
MBD_NandS_geq_2,2,4,0.7,30_40,1.75,1.92128,1.32519
MBD_NandS_geq_2,2,4,0.7,30_40,2,1.93903,1.18587
MBD_NandS_geq_2,2,4,0.7,30_40,2.25,1.64352,0.970522
