trigger,cent,pTlo,pThi,slice,windowSigma,sb,err
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,0.452313,0.0716295
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,0.411195,0.0658686
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,0.378355,0.0611415
MBD_NandS_geq_2,2,4,0.7,0_10,2,0.345466,0.0569814
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,0.311109,0.0532494
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,0.589834,0.142835
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,0.497986,0.122602
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,0.456617,0.114193
MBD_NandS_geq_2,2,4,0.7,10_20,2,0.470481,0.110162
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,0.40109,0.101602
MBD_NandS_geq_2,2,4,0.7,20_30,1.25,0.320215,0.163809
MBD_NandS_geq_2,2,4,0.7,20_30,1.5,0.284809,0.152969
MBD_NandS_geq_2,2,4,0.7,20_30,1.75,0.362571,0.152968
MBD_NandS_geq_2,2,4,0.7,20_30,2,0.338982,0.144681
MBD_NandS_geq_2,2,4,0.7,20_30,2.25,0.303193,0.136206
MBD_NandS_geq_2,2,4,0.7,30_40,1.25,1.33896,0.62174
MBD_NandS_geq_2,2,4,0.7,30_40,1.5,1.08798,0.51258
MBD_NandS_geq_2,2,4,0.7,30_40,1.75,1.08798,0.51258
MBD_NandS_geq_2,2,4,0.7,30_40,2,1.33207,0.538702
MBD_NandS_geq_2,2,4,0.7,30_40,2.25,1.33207,0.538702
MBD_NandS_geq_2,2,4,0.7,40_50,1.25,1.24057,0.582009
MBD_NandS_geq_2,2,4,0.7,40_50,1.5,1.06535,0.504206
MBD_NandS_geq_2,2,4,0.7,40_50,1.75,1.06738,0.478122
MBD_NandS_geq_2,2,4,0.7,40_50,2,1.00334,0.441043
MBD_NandS_geq_2,2,4,0.7,40_50,2.25,0.949321,0.410344
MBD_NandS_geq_2,2,4,0.7,50_60,1.25,3.80896,3.04788
MBD_NandS_geq_2,2,4,0.7,50_60,1.5,3.80896,3.04788
MBD_NandS_geq_2,2,4,0.7,50_60,1.75,2.45818,1.81261
MBD_NandS_geq_2,2,4,0.7,50_60,2,2.45818,1.81261
MBD_NandS_geq_2,2,4,0.7,50_60,2.25,2.45818,1.81261
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.25,0.637604,0.0639319
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.5,0.580826,0.058535
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.75,0.553874,0.0547081
MBD_NandS_geq_2,2,4,0.7,Inclusive,2,0.498008,0.0504657
MBD_NandS_geq_2,2,4,0.7,Inclusive,2.25,0.451778,0.046941
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,53.2279,55.9606
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,31.186,24.9379
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,20.3923,13.1611
MBD_NandS_geq_2,2,4,0.7,0_10,2,14.8418,8.03072
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,10.9057,5.09535
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,0.453761,0.776651
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,0.385453,0.65197
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,0.0922712,0.490379
MBD_NandS_geq_2,2,4,0.7,10_20,2,0.0922712,0.490379
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,0.0922712,0.490379
MBD_NandS_geq_2,2,4,0.7,20_30,1.25,-0.535139,0
MBD_NandS_geq_2,2,4,0.7,20_30,1.5,-0.720115,0
MBD_NandS_geq_2,2,4,0.7,20_30,1.75,-0.720115,0
MBD_NandS_geq_2,2,4,0.7,20_30,2,-0.720115,0
MBD_NandS_geq_2,2,4,0.7,20_30,2.25,-0.720115,0
MBD_NandS_geq_2,2,4,0.7,30_40,1.25,0.0859796,0.487315
MBD_NandS_geq_2,2,4,0.7,30_40,1.5,-0.0990086,0
MBD_NandS_geq_2,2,4,0.7,30_40,1.75,-0.0990086,0
MBD_NandS_geq_2,2,4,0.7,30_40,2,-0.223897,0
MBD_NandS_geq_2,2,4,0.7,30_40,2.25,-0.323848,0
MBD_NandS_geq_2,2,4,0.7,40_50,1.25,-0.515297,0
MBD_NandS_geq_2,2,4,0.7,40_50,1.5,-0.445819,0
MBD_NandS_geq_2,2,4,0.7,40_50,1.75,-0.564344,0
MBD_NandS_geq_2,2,4,0.7,40_50,2,-0.564344,0
