trigger,cent,pTlo,pThi,slice,windowSigma,sb,err
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,0.456213,0.0467486
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,0.424224,0.0434714
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,0.395159,0.0406467
MBD_NandS_geq_2,2,4,0.7,0_10,2,0.369536,0.0382069
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,0.321916,0.0355631
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,0.680953,0.109439
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,0.556045,0.0901661
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,0.556045,0.0901661
MBD_NandS_geq_2,2,4,0.7,10_20,2,0.493598,0.0788821
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,0.493598,0.0788821
MBD_NandS_geq_2,2,4,0.7,20_30,1.25,3.82382,0.691794
MBD_NandS_geq_2,2,4,0.7,20_30,1.5,3.82382,0.691794
MBD_NandS_geq_2,2,4,0.7,20_30,1.75,3.36871,0.56251
MBD_NandS_geq_2,2,4,0.7,20_30,2,2.86371,0.453153
MBD_NandS_geq_2,2,4,0.7,20_30,2.25,2.86371,0.453153
MBD_NandS_geq_2,2,4,0.7,30_40,1.25,1.42431,0.407532
MBD_NandS_geq_2,2,4,0.7,30_40,1.5,1.10159,0.296967
MBD_NandS_geq_2,2,4,0.7,30_40,1.75,1.10159,0.296967
MBD_NandS_geq_2,2,4,0.7,30_40,2,0.965005,0.258756
MBD_NandS_geq_2,2,4,0.7,30_40,2.25,0.858602,0.23153
MBD_NandS_geq_2,2,4,0.7,40_50,1.25,183.198,363.666
MBD_NandS_geq_2,2,4,0.7,40_50,1.5,64.1352,73.0518
MBD_NandS_geq_2,2,4,0.7,40_50,1.75,34.867,28.3128
MBD_NandS_geq_2,2,4,0.7,40_50,2,34.867,28.3128
MBD_NandS_geq_2,2,4,0.7,40_50,2.25,21.1961,13.5497
MBD_NandS_geq_2,2,4,0.7,50_60,1.25,0,0
MBD_NandS_geq_2,2,4,0.7,50_60,1.5,0,0
MBD_NandS_geq_2,2,4,0.7,50_60,1.75,0,0
MBD_NandS_geq_2,2,4,0.7,50_60,2,75275.8,3.39538e+06
MBD_NandS_geq_2,2,4,0.7,50_60,2.25,111.283,192.157
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.25,0.73445,0.0484661
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.5,0.663148,0.0421993
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.75,0.663148,0.0421993
MBD_NandS_geq_2,2,4,0.7,Inclusive,2,0.60669,0.0387044
MBD_NandS_geq_2,2,4,0.7,Inclusive,2.25,0.554743,0.035716
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,4.85131,1.3525
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,3.96931,1.02513
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,3.47812,0.836812
MBD_NandS_geq_2,2,4,0.7,0_10,2,3.01558,0.685574
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,2.73904,0.589382
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,0.697531,0.325469
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,0.738908,0.319183
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,0.648521,0.292017
MBD_NandS_geq_2,2,4,0.7,10_20,2,0.606994,0.274925
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,0.639857,0.270286
MBD_NandS_geq_2,2,4,0.7,20_30,1.25,2.61968,1.41315
MBD_NandS_geq_2,2,4,0.7,20_30,1.5,2.23411,1.09962
MBD_NandS_geq_2,2,4,0.7,20_30,1.75,2.23411,1.09962
MBD_NandS_geq_2,2,4,0.7,20_30,2,1.73934,0.828603
MBD_NandS_geq_2,2,4,0.7,20_30,2.25,1.73934,0.828603
MBD_NandS_geq_2,2,4,0.7,30_40,1.25,0.529721,0.744217
MBD_NandS_geq_2,2,4,0.7,30_40,1.5,0.471721,0.558284
MBD_NandS_geq_2,2,4,0.7,30_40,1.75,0.471721,0.558284
MBD_NandS_geq_2,2,4,0.7,30_40,2,0.471721,0.558284
MBD_NandS_geq_2,2,4,0.7,30_40,2.25,0.471721,0.558284
MBD_NandS_geq_2,2,4,0.7,40_50,1.25,2.66443,2.37374
MBD_NandS_geq_2,2,4,0.7,40_50,1.5,2.66443,2.37374
MBD_NandS_geq_2,2,4,0.7,40_50,1.75,2.66443,2.37374
MBD_NandS_geq_2,2,4,0.7,40_50,2,1.57436,1.3632
MBD_NandS_geq_2,2,4,0.7,40_50,2.25,1.50237,1.30439
MBD_NandS_geq_2,2,4,0.7,50_60,1.25,2.03955,2.09202
MBD_NandS_geq_2,2,4,0.7,50_60,1.5,1.21212,1.16502
MBD_NandS_geq_2,2,4,0.7,50_60,1.75,1.21212,1.16502
MBD_NandS_geq_2,2,4,0.7,50_60,2,1.21212,1.16502
MBD_NandS_geq_2,2,4,0.7,50_60,2.25,1.21212,1.16502
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.25,39.9925,18.8126
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.5,22.6327,7.99752
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.75,14.7351,4.20724
MBD_NandS_geq_2,2,4,0.7,Inclusive,2,10.4651,2.52826
MBD_NandS_geq_2,2,4,0.7,Inclusive,2.25,7.96537,1.68007
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,2,-1,0
