trigger,cent,pTlo,pThi,slice,windowSigma,sb,err
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,0.251586,0.0216285
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,0.251586,0.0216285
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,0.232654,0.0203001
MBD_NandS_geq_2,2,4,0.7,0_10,2,0.209074,0.0190772
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,0.191294,0.0180475
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,0.474892,0.0626971
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,0.474892,0.0626971
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,0.474892,0.0626971
MBD_NandS_geq_2,2,4,0.7,10_20,2,0.329426,0.0487613
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,0.329426,0.0487613
MBD_NandS_geq_2,2,4,0.7,20_30,1.25,1.19471,0.132033
MBD_NandS_geq_2,2,4,0.7,20_30,1.5,1.11064,0.112068
MBD_NandS_geq_2,2,4,0.7,20_30,1.75,0.977673,0.0951355
MBD_NandS_geq_2,2,4,0.7,20_30,2,0.855914,0.0846771
MBD_NandS_geq_2,2,4,0.7,20_30,2.25,0.855914,0.0846771
MBD_NandS_geq_2,2,4,0.7,30_40,1.25,1.76608,0.270791
MBD_NandS_geq_2,2,4,0.7,30_40,1.5,1.68098,0.239676
MBD_NandS_geq_2,2,4,0.7,30_40,1.75,1.5149,0.206743
MBD_NandS_geq_2,2,4,0.7,30_40,2,1.32742,0.178716
MBD_NandS_geq_2,2,4,0.7,30_40,2.25,1.15218,0.154929
MBD_NandS_geq_2,2,4,0.7,40_50,1.25,2.87696,0.640108
MBD_NandS_geq_2,2,4,0.7,40_50,1.5,2.77704,0.579992
MBD_NandS_geq_2,2,4,0.7,40_50,1.75,2.54591,0.503963
MBD_NandS_geq_2,2,4,0.7,40_50,2,2.54591,0.503963
MBD_NandS_geq_2,2,4,0.7,40_50,2.25,2.37709,0.453867
MBD_NandS_geq_2,2,4,0.7,50_60,1.25,3.98851,1.26639
MBD_NandS_geq_2,2,4,0.7,50_60,1.5,3.58046,1.01084
MBD_NandS_geq_2,2,4,0.7,50_60,1.75,3.58046,1.01084
MBD_NandS_geq_2,2,4,0.7,50_60,2,3.11733,0.838604
MBD_NandS_geq_2,2,4,0.7,50_60,2.25,3.11733,0.838604
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.25,0.422633,0.0234007
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.5,0.361773,0.0199386
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.75,0.361773,0.0199386
MBD_NandS_geq_2,2,4,0.7,Inclusive,2,0.31443,0.0175637
MBD_NandS_geq_2,2,4,0.7,Inclusive,2.25,0.31443,0.0175637
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,1.4277,0.215253
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,1.18018,0.170172
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,1.0537,0.145248
MBD_NandS_geq_2,2,4,0.7,0_10,2,0.983655,0.132591
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,0.983655,0.132591
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,0.988234,0.278502
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,0.988234,0.278502
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,0.988234,0.278502
MBD_NandS_geq_2,2,4,0.7,10_20,2,0.988234,0.278502
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,0.669189,0.199259
MBD_NandS_geq_2,2,4,0.7,20_30,1.25,14.0789,7.20242
MBD_NandS_geq_2,2,4,0.7,20_30,1.5,11.486,5.07538
MBD_NandS_geq_2,2,4,0.7,20_30,1.75,9.05855,3.56265
MBD_NandS_geq_2,2,4,0.7,20_30,2,9.05855,3.56265
MBD_NandS_geq_2,2,4,0.7,20_30,2.25,7.189,2.57399
MBD_NandS_geq_2,2,4,0.7,30_40,1.25,5.81586,3.14527
MBD_NandS_geq_2,2,4,0.7,30_40,1.5,4.58365,2.26281
MBD_NandS_geq_2,2,4,0.7,30_40,1.75,4.58365,2.26281
MBD_NandS_geq_2,2,4,0.7,30_40,2,4.04329,1.86551
MBD_NandS_geq_2,2,4,0.7,30_40,2.25,4.04329,1.86551
MBD_NandS_geq_2,2,4,0.7,40_50,1.25,3.61775,1.9278
MBD_NandS_geq_2,2,4,0.7,40_50,1.5,3.61775,1.9278
MBD_NandS_geq_2,2,4,0.7,40_50,1.75,3.61775,1.9278
MBD_NandS_geq_2,2,4,0.7,40_50,2,2.76009,1.30817
MBD_NandS_geq_2,2,4,0.7,40_50,2.25,2.76009,1.30817
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.25,1.7877,0.187394
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.5,1.7877,0.187394
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.75,1.50227,0.147955
MBD_NandS_geq_2,2,4,0.7,Inclusive,2,1.318,0.124135
MBD_NandS_geq_2,2,4,0.7,Inclusive,2.25,1.318,0.124135
MBD_NandS_geq_2,2,4,0.7,50_60,1.25,2.12571,1.30641
MBD_NandS_geq_2,2,4,0.7,50_60,1.5,2.12571,1.30641
MBD_NandS_geq_2,2,4,0.7,50_60,1.75,2.12571,1.30641
MBD_NandS_geq_2,2,4,0.7,50_60,2,1.55903,0.893327
MBD_NandS_geq_2,2,4,0.7,50_60,2.25,1.55903,0.893327
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,2,-1,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,2.25,-1,0
