trigger,cent,pTlo,pThi,slice,windowSigma,sb,err
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,0.298986,0.00949032
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,0.273267,0.00886338
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,0.253257,0.00833788
MBD_NandS_geq_2,2,4,0.7,0_10,2,0.23687,0.0078866
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,0.2173,0.00746846
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,0.671111,0.0275263
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,0.57664,0.0230733
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,0.57664,0.0230733
MBD_NandS_geq_2,2,4,0.7,10_20,2,0.500484,0.0200355
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,0.500484,0.0200355
MBD_NandS_geq_2,2,4,0.7,20_30,1.25,0.909843,0.0471688
MBD_NandS_geq_2,2,4,0.7,20_30,1.5,0.803673,0.0409558
MBD_NandS_geq_2,2,4,0.7,20_30,1.75,0.743888,0.0374726
MBD_NandS_geq_2,2,4,0.7,20_30,2,0.670182,0.0336501
MBD_NandS_geq_2,2,4,0.7,20_30,2.25,0.630375,0.0315465
MBD_NandS_geq_2,2,4,0.7,30_40,1.25,1.9145,0.117331
MBD_NandS_geq_2,2,4,0.7,30_40,1.5,1.84045,0.107141
MBD_NandS_geq_2,2,4,0.7,30_40,1.75,1.5909,0.0897622
MBD_NandS_geq_2,2,4,0.7,30_40,2,1.49899,0.0826073
MBD_NandS_geq_2,2,4,0.7,30_40,2.25,1.34454,0.0724049
MBD_NandS_geq_2,2,4,0.7,40_50,1.25,1.80703,0.16813
MBD_NandS_geq_2,2,4,0.7,40_50,1.5,1.41637,0.117049
MBD_NandS_geq_2,2,4,0.7,40_50,1.75,1.41637,0.117049
MBD_NandS_geq_2,2,4,0.7,40_50,2,1.41637,0.117049
MBD_NandS_geq_2,2,4,0.7,40_50,2.25,1.09518,0.0873831
MBD_NandS_geq_2,2,4,0.7,50_60,1.25,3.41776,0.406691
MBD_NandS_geq_2,2,4,0.7,50_60,1.5,3.01374,0.334427
MBD_NandS_geq_2,2,4,0.7,50_60,1.75,2.74244,0.287776
MBD_NandS_geq_2,2,4,0.7,50_60,2,2.37008,0.240191
MBD_NandS_geq_2,2,4,0.7,50_60,2.25,2.18771,0.213814
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.25,0.410563,0.00967321
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.5,0.410563,0.00967321
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.75,0.348098,0.00823466
MBD_NandS_geq_2,2,4,0.7,Inclusive,2,0.348098,0.00823466
MBD_NandS_geq_2,2,4,0.7,Inclusive,2.25,0.297659,0.00724142
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,1.92063,0.116186
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,1.80259,0.101265
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,1.58487,0.0861518
MBD_NandS_geq_2,2,4,0.7,0_10,2,1.38838,0.0739888
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,1.24393,0.0650905
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,3.77621,0.420989
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,3.40326,0.341942
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,3.0123,0.281628
MBD_NandS_geq_2,2,4,0.7,10_20,2,3.0123,0.281628
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,2.60724,0.233229
MBD_NandS_geq_2,2,4,0.7,20_30,1.25,4.01704,0.56454
MBD_NandS_geq_2,2,4,0.7,20_30,1.5,4.01704,0.56454
MBD_NandS_geq_2,2,4,0.7,20_30,1.75,3.53744,0.457896
MBD_NandS_geq_2,2,4,0.7,20_30,2,3.53744,0.457896
MBD_NandS_geq_2,2,4,0.7,20_30,2.25,3.05365,0.371003
MBD_NandS_geq_2,2,4,0.7,30_40,1.25,5.0523,0.987471
MBD_NandS_geq_2,2,4,0.7,30_40,1.5,5.0523,0.987471
MBD_NandS_geq_2,2,4,0.7,30_40,1.75,4.0175,0.699437
MBD_NandS_geq_2,2,4,0.7,30_40,2,4.0175,0.699437
MBD_NandS_geq_2,2,4,0.7,30_40,2.25,3.62506,0.601648
MBD_NandS_geq_2,2,4,0.7,40_50,1.25,5.4002,1.38299
MBD_NandS_geq_2,2,4,0.7,40_50,1.5,4.63967,1.1027
MBD_NandS_geq_2,2,4,0.7,40_50,1.75,4.1653,0.931605
MBD_NandS_geq_2,2,4,0.7,40_50,2,3.92054,0.826959
MBD_NandS_geq_2,2,4,0.7,40_50,2.25,3.92054,0.826959
MBD_NandS_geq_2,2,4,0.7,50_60,1.25,6.76271,2.32234
MBD_NandS_geq_2,2,4,0.7,50_60,1.5,6.76271,2.32234
MBD_NandS_geq_2,2,4,0.7,50_60,1.75,5.22808,1.55001
MBD_NandS_geq_2,2,4,0.7,50_60,2,5.22808,1.55001
MBD_NandS_geq_2,2,4,0.7,50_60,2.25,5.22808,1.55001
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.25,2.02644,0.0924999
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.5,1.76545,0.0743213
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.75,1.76545,0.0743213
MBD_NandS_geq_2,2,4,0.7,Inclusive,2,1.55691,0.0621137
MBD_NandS_geq_2,2,4,0.7,Inclusive,2.25,1.55691,0.0621137
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,-0.749985,0
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,-0.749985,0
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,-0.799987,0
MBD_NandS_geq_2,2,4,0.7,0_10,2,-0.818172,0
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,-0.818172,0
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,-0.853952,0
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,-0.853952,0
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,-0.872252,0
MBD_NandS_geq_2,2,4,0.7,10_20,2,-0.886487,0
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,-0.886487,0
MBD_NandS_geq_2,2,4,0.7,40_50,1.25,-0.874834,0
MBD_NandS_geq_2,2,4,0.7,40_50,1.5,-0.874834,0
MBD_NandS_geq_2,2,4,0.7,40_50,1.75,-0.899867,0
MBD_NandS_geq_2,2,4,0.7,40_50,2,-0.908967,0
MBD_NandS_geq_2,2,4,0.7,40_50,2.25,-0.916556,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.25,-0.332951,0
