trigger,cent,pTlo,pThi,slice,windowSigma,sb,err
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,0.0922656,0.0379237
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,0.0922656,0.0379237
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,0.0922656,0.0379237
MBD_NandS_geq_2,2,4,0.7,0_10,2,0.0804582,0.0335233
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,0.0706539,0.0306239
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,1.17281,0.108081
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,1.025,0.0913713
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,1.025,0.0913713
MBD_NandS_geq_2,2,4,0.7,10_20,2,0.937651,0.0819358
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,0.856086,0.0739802
MBD_NandS_geq_2,2,4,0.7,20_30,1.25,21.5636,5.55889
MBD_NandS_geq_2,2,4,0.7,20_30,1.5,13.4586,2.72801
MBD_NandS_geq_2,2,4,0.7,20_30,1.75,9.34997,1.5807
MBD_NandS_geq_2,2,4,0.7,20_30,2,6.92151,1.01532
MBD_NandS_geq_2,2,4,0.7,20_30,2.25,5.41923,0.709002
MBD_NandS_geq_2,2,4,0.7,30_40,1.25,1.79964,0.34145
MBD_NandS_geq_2,2,4,0.7,30_40,1.5,1.74372,0.316933
MBD_NandS_geq_2,2,4,0.7,30_40,1.75,1.55883,0.270084
MBD_NandS_geq_2,2,4,0.7,30_40,2,1.55883,0.270084
MBD_NandS_geq_2,2,4,0.7,30_40,2.25,1.30992,0.218377
MBD_NandS_geq_2,2,4,0.7,40_50,1.25,0,0
MBD_NandS_geq_2,2,4,0.7,40_50,1.5,0,0
MBD_NandS_geq_2,2,4,0.7,40_50,1.75,0,0
MBD_NandS_geq_2,2,4,0.7,40_50,2,0,0
MBD_NandS_geq_2,2,4,0.7,40_50,2.25,0,0
MBD_NandS_geq_2,2,4,0.7,50_60,1.25,1126.07,5295.98
MBD_NandS_geq_2,2,4,0.7,50_60,1.5,1148.17,5399.87
MBD_NandS_geq_2,2,4,0.7,50_60,1.75,122.509,186.038
MBD_NandS_geq_2,2,4,0.7,50_60,2,47.0276,44.4203
MBD_NandS_geq_2,2,4,0.7,50_60,2.25,47.0276,44.4203
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.25,0.511392,0.0304234
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.5,0.464553,0.0276199
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.75,0.450462,0.026327
MBD_NandS_geq_2,2,4,0.7,Inclusive,2,0.412709,0.0242978
MBD_NandS_geq_2,2,4,0.7,Inclusive,2.25,0.384084,0.0226503
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,0.559651,0.17628
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,0.45186,0.140384
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,0.45186,0.140384
MBD_NandS_geq_2,2,4,0.7,0_10,2,0.340249,0.116411
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,0.340249,0.116411
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,0,0
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,0,0
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,312.656,598.054
MBD_NandS_geq_2,2,4,0.7,10_20,2,99.2247,107.04
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,48.7028,36.9834
MBD_NandS_geq_2,2,4,0.7,20_30,1.25,0,0
MBD_NandS_geq_2,2,4,0.7,20_30,1.5,0,0
MBD_NandS_geq_2,2,4,0.7,20_30,1.75,313.014,828.185
MBD_NandS_geq_2,2,4,0.7,20_30,2,64.8348,77.3325
MBD_NandS_geq_2,2,4,0.7,20_30,2.25,64.8348,77.3325
MBD_NandS_geq_2,2,4,0.7,30_40,1.25,2.59398,1.36198
MBD_NandS_geq_2,2,4,0.7,30_40,1.5,2.03933,0.975297
MBD_NandS_geq_2,2,4,0.7,30_40,1.75,1.58524,0.741061
MBD_NandS_geq_2,2,4,0.7,30_40,2,1.58524,0.741061
MBD_NandS_geq_2,2,4,0.7,30_40,2.25,1.58524,0.741061
MBD_NandS_geq_2,2,4,0.7,40_50,1.25,2.11169,1.40114
MBD_NandS_geq_2,2,4,0.7,40_50,1.5,1.62533,1.03134
MBD_NandS_geq_2,2,4,0.7,40_50,1.75,1.03438,0.696989
MBD_NandS_geq_2,2,4,0.7,40_50,2,1.03438,0.696989
MBD_NandS_geq_2,2,4,0.7,40_50,2.25,1.03438,0.696989
MBD_NandS_geq_2,2,4,0.7,50_60,1.25,444.42,2710.67
MBD_NandS_geq_2,2,4,0.7,50_60,1.5,46.0063,92.0607
MBD_NandS_geq_2,2,4,0.7,50_60,1.75,18.4717,23.2427
MBD_NandS_geq_2,2,4,0.7,50_60,2,9.42834,8.92604
MBD_NandS_geq_2,2,4,0.7,50_60,2.25,5.58299,4.37235
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.25,1.89814,0.25315
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.5,1.89814,0.25315
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.75,1.6079,0.20047
MBD_NandS_geq_2,2,4,0.7,Inclusive,2,1.6079,0.20047
MBD_NandS_geq_2,2,4,0.7,Inclusive,2.25,1.35111,0.163574
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,2,-1,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,2.25,-1,0
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,0_10,2,-1,0
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,-1,0
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,10_20,2,-1,0
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,-1,0
MBD_NandS_geq_2,2,4,0.7,20_30,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,20_30,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,20_30,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,20_30,2,-1,0
